Date,Open,High,Low,Close,Adj Close,Volume
2022-05-20,266.100006,272.000000,259.700012,263.100006,262.908051,5178573
2022-05-23,263.000000,269.000000,257.299988,267.410004,267.214905,4955556
2022-05-24,265.399994,273.880005,260.200012,261.500000,261.309235,5952557
2022-05-25,260.420013,268.480011,258.700012,261.529999,261.339203,4692967
2022-05-26,261.000000,261.000000,249.029999,255.990005,255.803238,4530745
2022-05-27,259.000000,266.179993,254.699997,256.200012,256.013092,4180551
2022-05-30,257.299988,261.000000,252.600006,258.799988,258.611176,3311013
2022-05-31,257.730011,270.529999,254.000000,270.000000,269.803009,7089809
2022-06-01,267.000000,281.079987,265.000000,272.459991,272.261230,6429548
2022-06-02,271.500000,296.190002,270.010010,288.709991,288.499359,10447966
2022-06-06,285.799988,293.220001,282.220001,291.500000,291.287323,8094063
2022-06-07,288.000000,289.579987,277.750000,278.179993,277.977051,7281464
2022-06-08,278.000000,287.269989,275.799988,279.700012,279.495941,6340084
2022-06-09,279.000000,279.000000,265.529999,267.350006,267.154968,7453398
2022-06-10,267.089996,273.679993,260.220001,272.010010,271.811554,9143926
2022-06-13,267.269989,269.470001,260.880005,265.040009,264.846649,7211452
2022-06-14,261.000000,265.480011,238.550003,250.100006,249.917542,15057479
2022-06-15,248.100006,262.000000,247.500000,255.500000,255.313599,10350346
2022-06-16,254.229996,267.179993,253.270004,261.600006,261.409149,8138983
2022-06-17,258.010010,260.500000,250.000000,256.609985,256.422760,9937155
2022-06-20,258.000000,267.529999,252.300003,262.500000,262.308502,9253307
2022-06-21,262.510010,272.950012,258.119995,266.049988,265.855896,9568434
2022-06-22,265.799988,266.079987,252.100006,254.300003,254.114471,10853066
2022-06-23,253.550003,265.489990,253.000000,264.799988,264.606812,9679752
2022-06-24,265.010010,271.000000,261.010010,268.399994,268.204193,8312013
2022-06-27,270.000000,278.000000,270.000000,272.399994,272.201263,8304501
2022-06-28,271.600006,282.100006,263.399994,279.660004,279.455963,11535158
2022-06-29,276.000000,288.690002,272.799988,273.040009,272.840820,12796157
2022-06-30,272.500000,281.000000,272.179993,277.119995,276.917816,6228993
2022-07-01,279.000000,286.679993,274.160004,282.079987,281.874207,7250004
2022-07-04,277.000000,277.000000,258.480011,266.109985,265.915833,13270345
2022-07-05,269.000000,281.000000,268.000000,274.600006,274.399658,10757300
2022-07-06,274.779999,302.059998,274.779999,294.000000,293.785522,19533082
2022-07-07,298.000000,302.010010,288.089996,299.299988,299.081635,13811417
2022-07-08,300.010010,310.000000,298.000000,305.000000,304.777496,10367305
2022-07-11,302.899994,309.440002,295.700012,299.540009,299.321472,7413008
2022-07-12,306.799988,308.410004,276.089996,280.989990,280.785004,14744882
2022-07-13,280.000000,285.290009,274.859985,281.000000,281.000000,6922323
2022-07-14,278.529999,285.880005,276.359985,277.510010,277.510010,7042054
2022-07-15,278.000000,290.000000,277.989990,280.799988,280.799988,6878192
2022-07-18,283.010010,284.000000,262.670013,271.149994,271.149994,13320508
2022-07-19,268.000000,272.220001,260.000000,264.420013,264.420013,8133378
2022-07-20,266.880005,274.500000,264.559998,266.149994,266.149994,7009803
2022-07-21,266.309998,290.750000,265.000000,280.570007,280.570007,14468013
2022-07-22,284.000000,284.000000,269.399994,273.399994,273.399994,7676625
2022-07-25,270.209991,274.940002,265.010010,272.000000,272.000000,5522638
2022-07-26,271.600006,273.500000,265.500000,271.429993,271.429993,5411372
2022-07-27,270.000000,270.000000,261.859985,263.989990,263.989990,7034336
2022-07-28,267.500000,274.299988,264.869995,269.260010,269.260010,6892439
2022-07-29,267.089996,267.149994,253.199997,253.580002,253.580002,11292985
2022-08-01,249.970001,258.500000,241.800003,256.459991,256.459991,9547117
2022-08-02,254.000000,273.500000,251.110001,270.010010,270.010010,15589360
2022-08-03,273.000000,295.070007,265.869995,285.450012,285.450012,17625262
2022-08-04,287.950012,295.730011,284.000000,288.600006,288.600006,10862078
2022-08-05,288.600006,317.459991,286.329987,317.459991,317.459991,15695751
2022-08-08,327.000000,338.329987,320.000000,324.880005,324.880005,16761374
2022-08-09,322.929993,331.179993,304.820007,325.880005,325.880005,14029599
2022-08-10,315.869995,338.119995,312.450012,331.500000,331.500000,13430022
2022-08-11,329.989990,338.500000,324.000000,333.579987,333.579987,8388804
2022-08-12,330.799988,339.000000,325.250000,326.100006,326.100006,6659123
2022-08-15,328.790009,336.779999,325.010010,327.399994,327.399994,6034309
2022-08-16,326.329987,335.880005,312.000000,313.880005,313.880005,11696739
2022-08-17,314.049988,316.079987,306.500000,315.079987,315.079987,8396118
2022-08-18,311.000000,318.290009,308.000000,315.630005,315.630005,5970325
2022-08-19,313.890015,318.880005,305.000000,306.619995,306.619995,6369197
2022-08-22,307.000000,311.799988,302.500000,308.489990,308.489990,4566964
2022-08-23,307.010010,308.390015,298.100006,299.779999,299.779999,6222891
2022-08-24,299.779999,299.899994,287.010010,287.829987,287.829987,6435098
2022-08-25,288.989990,290.690002,283.000000,288.079987,288.079987,4633666
2022-08-26,290.000000,291.160004,282.440002,282.540009,282.540009,4864290
2022-08-29,278.000000,295.000000,276.880005,284.279999,284.279999,7197794
2022-08-30,285.799988,291.500000,282.279999,287.510010,287.510010,5783083
2022-08-31,286.000000,288.829987,277.000000,282.000000,282.000000,5909009
2022-09-01,288.000000,292.489990,279.299988,280.850006,280.850006,6260569
2022-09-02,282.000000,289.519989,278.500000,285.549988,285.549988,6111781
2022-09-05,283.000000,290.200012,272.010010,290.010010,290.010010,7389433
2022-09-06,289.910004,295.000000,287.179993,290.000000,290.000000,5529401
2022-09-07,295.980011,316.600006,295.010010,315.000000,315.000000,10134040
2022-09-08,311.750000,319.989990,307.730011,313.029999,313.029999,6082439
2022-09-09,312.010010,315.000000,308.000000,312.500000,312.500000,4368822
2022-09-13,314.000000,321.299988,311.200012,314.029999,314.029999,3514476
